2.2- Índice de Calidad del Aire (ICA). Resumen mensual por Zona.;;;;;;;;;
C.A. del País Vasco. 2015.;;;;;;;;;
Unidades: Nº de días por mes y Zona.;;;;;;;;;
Zona / Estados de Calidad;Muy buena;Buena;Mejorable;Mala;Muy mala;Total;;;
ENERO;;;;;;;;;
1: Encartaciones - Alto Nervión;14;17;0;0;0;31;;;
2: Bajo Nervión;0;29;2;0;0;31;;;
3: Kostaldea;1;30;0;0;0;31;;;
4: Donostialdea;0;30;1;0;0;31;;;
5: Alto Ibaizabal - Alto Deba;8;22;1;0;0;31;;;
6: Goierri;3;25;3;0;0;31;;;
7: Llanada Alavesa;2;26;1;2;0;31;;;
8: País Vasco Ribera;3;28;0;0;0;31;;;
FEBRERO;;;;;;;;;
1: Encartaciones - Alto Nervión;3;25;0;0;0;28;;;
2: Bajo Nervión;0;28;0;0;0;28;;;
3: Kostaldea;0;28;0;0;0;28;;;
4: Donostialdea;0;28;0;0;0;28;;;
5: Alto Ibaizabal - Alto Deba;8;20;0;0;0;28;;;
6: Goierri;1;25;2;0;0;28;;;
7: Llanada Alavesa;0;25;2;1;0;28;;;
8: País Vasco Ribera;1;26;1;0;0;28;;;
MARZO;;;;;;;;;
1: Encartaciones - Alto Nervión;3;26;2;0;0;31;;;
2: Bajo Nervión;0;26;5;0;0;31;;;
3: Kostaldea;0;29;2;0;0;31;;;
4: Donostialdea;0;21;9;1;0;31;;;
5: Alto Ibaizabal - Alto Deba;4;23;4;0;0;31;;;
6: Goierri;2;26;2;1;0;31;;;
7: Llanada Alavesa;2;26;1;2;0;31;;;
8: País Vasco Ribera;0;24;7;0;0;31;;;
ABRIL;;;;;;ABRIL;;;
1: Encartaciones - Alto Nervión;0;25;5;0;0;30;;;
2: Bajo Nervión;0;21;9;0;0;30;;;
3: Kostaldea;0;17;13;0;0;30;;;
4: Donostialdea;0;9;21;0;0;30;;;
5: Alto Ibaizabal - Alto Deba;0;25;5;0;0;30;;;
6: Goierri;0;22;8;0;0;30;;;
7: Llanada Alavesa;0;17;13;0;0;30;;;
8: País Vasco Ribera;0;12;18;0;0;30;;;
MAYO;;;;;;;;;
1: Encartaciones - Alto Nervión;2;26;3;0;0;31;;;
2: Bajo Nervión;0;26;4;1;0;31;;;
3: Kostaldea;0;26;5;0;0;31;;;
4: Donostialdea;0;18;13;0;0;31;;;
5: Alto Ibaizabal - Alto Deba;4;25;2;0;0;31;;;
6: Goierri;2;25;4;0;0;31;;;
7: Llanada Alavesa;1;21;9;0;0;31;;;
8: País Vasco Ribera;0;15;16;0;0;31;;;
JUNIO;;;;;;;;;
1: Encartaciones - Alto Nervión;0;24;6;0;0;30;;;
2: Bajo Nervión;0;22;8;0;0;30;;;
3: Kostaldea;1;20;9;0;0;30;;;
4: Donostialdea;0;19;8;3;0;30;;;
5: Alto Ibaizabal - Alto Deba;4;23;3;0;0;30;;;
6: Goierri;1;23;6;0;0;30;;;
7: Llanada Alavesa;0;18;12;0;0;30;;;
8: País Vasco Ribera;0;8;19;3;0;30;;;
JULIO;;;;;;;;;
1: Encartaciones - Alto Nervión;4;24;3;0;0;31;;;
2: Bajo Nervión;3;25;3;0;0;31;;;
3: Kostaldea;2;26;3;0;0;31;;;
4: Donostialdea;0;23;8;0;0;31;;;
5: Alto Ibaizabal - Alto Deba;4;25;2;0;0;31;;;
6: Goierri;3;23;5;0;0;31;;;
7: Llanada Alavesa;1;15;15;0;0;31;;;
8: País Vasco Ribera;0;9;21;1;0;31;;;
AGOSTO;;;;;;;;;
1: Encartaciones - Alto Nervión;2;22;7;0;0;31;;;
2: Bajo Nervión;0;25;6;0;0;31;;;
3: Kostaldea;0;23;8;0;0;31;;;
4: Donostialdea;0;17;14;0;0;31;;;
5: Alto Ibaizabal - Alto Deba;0;19;12;0;0;31;;;
6: Goierri;0;21;10;0;0;31;;;
7: Llanada Alavesa;0;18;13;0;0;31;;;
8: País Vasco Ribera;0;15;15;1;0;31;;;
SEPTIEMBRE;;;;;;;;;
1: Encartaciones - Alto Nervión;1;25;2;2;0;30;;;
2: Bajo Nervión;0;30;0;0;0;30;;;
3: Kostaldea;0;29;1;0;0;30;;;
4: Donostialdea;0;26;4;0;0;30;;;
5: Alto Ibaizabal - Alto Deba;0;28;2;0;0;30;;;
6: Goierri;0;30;0;0;0;30;;;
7: Llanada Alavesa;0;29;1;0;0;30;;;
8: País Vasco Ribera;0;25;5;0;0;30;;;
OCTUBRE;;;;;;;;;
1: Encartaciones - Alto Nervión;3;28;0;0;0;31;;;
2: Bajo Nervión;0;31;0;0;0;31;;;
3: Kostaldea;0;30;1;0;0;31;;;
4: Donostialdea;0;29;2;0;0;31;;;
5: Alto Ibaizabal - Alto Deba;0;29;2;0;0;31;;;
6: Goierri;1;28;2;0;0;31;;;
7: Llanada Alavesa;0;29;2;0;0;31;;;
8: País Vasco Ribera;0;28;3;0;0;31;;;
NOVIEMBRE;;;;;;;;;
1: Encartaciones - Alto Nervión;10;19;1;0;0;30;;;
2: Bajo Nervión;1;26;3;0;0;30;;;
3: Kostaldea;4;26;0;0;0;30;;;
4: Donostialdea;0;28;2;0;0;30;;;
5: Alto Ibaizabal - Alto Deba;1;27;2;0;0;30;;;
6: Goierri;2;26;1;1;0;30;;;
7: Llanada Alavesa;8;22;0;0;0;30;;;
8: País Vasco Ribera;6;24;0;0;0;30;;;
DICIEMBRE;;;;;;;;;
1: Encartaciones - Alto Nervión;8;21;2;0;0;31;;;
2: Bajo Nervión;0;27;4;0;0;31;;;
3: Kostaldea;3;28;0;0;0;31;;;
4: Donostialdea;0;27;1;2;1;31;;;
5: Alto Ibaizabal - Alto Deba;4;23;3;1;0;31;;;
6: Goierri;4;23;3;1;0;31;;;
7: Llanada Alavesa;8;20;3;0;0;31;;;
8: País Vasco Ribera;3;28;0;0;0;31;;;
Nº días-zona según calidad del aire.;156 ;2.279 ;461 ;23 ;1 ;2.920 ;;;
% de días según calidad del aire.;5,34%;78,05%;15,79%;0,79%;0,03%;;;;
;;;;;;;;;
El valor diario asignado a cada zona será el peor valor observado de las estaciones de esa zona.;;;;;;;;;
Fuente: Gobierno Vasco. Departamento de Medio Ambiente y  Política Territorial.;;;;;;;;;
http://www.ingurumena.ejgv.euskadi.eus/r49-20775/es/;;;;;;;;;
;;;;;;;;;
