Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2017;0,24;0,22;1;10;11;64;67;6;5;2
30/12/2017;0,27;0,29;5;15;23;46;42;5;5;2
29/12/2017;0,32;0,3;7;23;33;41;47;8;8;2
28/12/2017;0,25;0,24;2;14;18;59;57;8;7;2
27/12/2017;0,23;0,25;1;9;11;67;68;7;4;2
26/12/2017;0,32;0,32;4;16;21;51;50;4;3;2
25/12/2017;0,28;0,3;2;10;14;33;27;5;8;2
24/12/2017;0,33;0,33;5;14;23;22;24;6;9;2
23/12/2017;0,33;0,32;2;13;15;45;47;4;5;2
22/12/2017;0,38;0,39;6;25;33;29;24;9;11;2
21/12/2017;0,36;0,34;18;31;59;22;26;17;16;2
20/12/2017;0,32;0,32;10;23;39;32;30;17;17;2
19/12/2017;0,31;0,3;11;24;40;35;42;13;12;2
18/12/2017;0,32;0,34;6;20;30;38;33;9;7;2
17/12/2017;0,3;0,29;2;16;20;45;49;7;8;2
16/12/2017;0,25;0,24;2;10;13;59;60;6;6;2
15/12/2017;0,24;0,24;3;16;19;62;61;6;4;2
14/12/2017;0,28;0,28;7;23;34;42;40;8;6;2
13/12/2017;0,28;0,3;7;25;35;32;24;10;12;2
12/12/2017;0,29;0,27;12;29;47;34;43;10;10;2
11/12/2017;0,21;0,21;4;16;22;61;61;6;4;2
10/12/2017;0,22;0,24;0;5;5;62;56;5;3;2
09/12/2017;0,3;0,28;2;18;22;44;49;7;7;2
08/12/2017;0,3;0,32;3;17;21;39;30;7;10;2
07/12/2017;0,3;0,29;19;38;63;18;19;13;16;2
06/12/2017;0,29;0,3;11;29;46;18;16;15;18;2
05/12/2017;0,31;0,3;29;39;77;17;18;17;20;3
04/12/2017
03/12/2017
02/12/2017;0,27;0,26;4;19;25;45;46;9;8;2
01/12/2017;0,22;0,21;4;23;28;55;56;7;5;2
30/11/2017;0,21;0,21;4;20;25;46;44;7;6;2
29/11/2017;0,2;0,19;3;20;25;50;51;6;4;2
28/11/2017;0,22;0,23;21;25;55;25;20;17;15;2
27/11/2017;0,23;0,23;16;26;51;14;16;13;13;2
26/11/2017;0,21;0,2;2;14;17;41;44;6;6;2
25/11/2017;0,17;0,18;1;9;11;57;56;7;5;2
24/11/2017;;;3;19;24;48;53;19;10;2
23/11/2017;;;1;9;10;64;63;24;11;2
22/11/2017;;;20;30;61;36;;29;24;
21/11/2017;0,29;0,28;25;39;72;15;15;35;33;21
20/11/2017;0,29;0,3;27;36;69;16;17;29;29;3
19/11/2017;0,26;0,26;6;18;26;23;23;9;12;2
18/11/2017;0,28;0,29;5;18;23;26;26;13;16;2
17/11/2017;0,3;0,29;22;31;60;20;19;26;26;3
16/11/2017;0,29;0,29;30;34;79;15;15;34;28;3
15/11/2017;0,26;0,24;19;29;57;19;21;28;25;3
14/11/2017;0,2;;5;19;27;39;45;17;14;2
13/11/2017;0,17;0,17;1;8;10;66;69;10;5;2
12/11/2017;0,22;0,23;1;9;11;52;43;7;4;2
11/11/2017;0,23;0,22;3;17;21;49;58;8;6;2
10/11/2017;0,22;0,22;3;14;18;53;48;7;6;2
09/11/2017;0,19;0,19;2;15;18;56;58;9;5;2
08/11/2017;0,17;0,18;2;15;18;62;57;6;4;2
07/11/2017;0,18;;11;25;41;26;30;11;12;2
06/11/2017;0,2;0,21;1;11;13;62;65;6;6;2
05/11/2017;0,21;0,22;1;5;6;73;72;5;3;2
04/11/2017;0,23;0,24;3;14;19;38;32;17;19;2
03/11/2017;0,21;0,2;2;18;22;48;53;15;15;2
02/11/2017;0,2;0,21;1;13;15;60;58;16;14;2
01/11/2017;0,21;0,21;3;17;21;54;51;15;15;2
31/10/2017;0,21;0,2;13;24;44;26;30;16;15;2
30/10/2017;0,19;0,19;1;10;12;56;57;5;5;2
29/10/2017;0,19;0,19;1;8;10;46;43;7;11;2
28/10/2017;0,2;0,19;1;10;11;57;63;9;12;2
27/10/2017;0,2;0,21;8;20;32;43;38;19;21;2
26/10/2017;0,27;;7;31;42;36;32;31;25;3
25/10/2017;0,26;0,26;8;31;44;28;29;26;24;3
24/10/2017;0,25;0,25;14;34;55;25;26;23;22;2
23/10/2017;0,26;0,26;10;20;36;29;31;14;13;2
22/10/2017;0,25;0,25;1;8;9;55;58;7;4;2
21/10/2017;0,23;0,23;1;7;8;59;57;11;6;2
20/10/2017;0,25;0,25;9;22;36;36;32;14;13;2
19/10/2017;0,24;0,24;4;19;25;36;43;11;11;2
18/10/2017;0,24;0,22;3;19;24;42;44;13;13;2
17/10/2017;0,16;0,17;1;10;11;71;65;20;13;2
16/10/2017;0,19;0,18;1;11;13;65;72;22;17;2
15/10/2017;0,17;0,17;1;7;8;71;70;20;15;2
14/10/2017;0,22;0,23;1;14;17;61;60;27;17;2
13/10/2017;0,22;0,22;5;20;27;56;53;32;30;2
12/10/2017;0,18;0,17;2;15;17;41;40;26;24;2
11/10/2017;0,17;;8;24;37;38;37;27;22;3
10/10/2017;0,19;0,18;8;20;32;22;22;20;21;2
09/10/2017;;;8;20;33;31;35;21;20;2
08/10/2017;0,15;;2;11;14;37;35;11;10;2
07/10/2017;0,15;0,14;2;12;15;35;38;14;12;2
06/10/2017;0,15;0,15;2;10;14;48;53;8;7;2
05/10/2017;0,2;0,21;5;12;20;28;20;15;15;2
04/10/2017;0,2;0,18;7;15;26;16;18;16;17;2
03/10/2017;0,17;0,18;6;10;19;14;13;10;12;2
02/10/2017;0,23;0,23;5;17;25;22;23;7;8;2
01/10/2017;0,18;0,17;2;12;15;20;22;7;8;2
30/09/2017;0,15;0,15;1;11;13;42;47;13;;2
29/09/2017;0,14;0,14;5;20;28;60;57;28;;2
28/09/2017;0,15;0,15;5;23;31;49;47;29;;2
27/09/2017;;;7;20;31;37;35;21;;2
26/09/2017;0,13;;2;15;18;42;47;11;;2
25/09/2017;0,19;0,21;2;14;16;54;58;11;;2
24/09/2017;0,27;0,27;1;11;13;64;61;18;;2
23/09/2017;0,27;0,27;2;13;16;57;49;19;;2
22/09/2017;0,31;0,31;8;20;33;26;30;17;;2
21/09/2017;0,25;0,25;6;20;29;51;47;23;;2
20/09/2017;0,22;0,22;6;20;29;36;34;16;;2
19/09/2017;0,22;0,23;3;14;19;40;44;10;;2
18/09/2017;0,24;0,23;2;13;17;35;35;9;;2
17/09/2017;0,14;0,14;1;7;8;44;43;8;;2
16/09/2017;;;1;9;11;48;49;6;;2
15/09/2017;0,16;0,16;4;13;18;38;36;10;5;2
14/09/2017;0,16;0,17;2;12;15;40;43;13;6;2
13/09/2017;0,19;0,19;8;11;24;35;33;18;;2
12/09/2017;0,17;0,17;2;12;15;45;52;11;6;2
11/09/2017;0,22;0,23;2;9;11;45;43;12;;2
10/09/2017;0,19;0,17;1;6;7;55;58;10;8;2
09/09/2017;0,18;0,18;1;6;7;55;53;9;3;1
08/09/2017;0,17;0,16;5;13;20;40;39;16;;2
07/09/2017;0,2;0,2;2;11;14;42;46;12;7;2
06/09/2017;0,19;0,2;1;9;11;44;42;13;;2
05/09/2017;0,2;0,2;3;10;15;33;32;13;;2
04/09/2017;0,21;0,21;4;13;20;27;28;12;;2
03/09/2017;0,16;0,15;1;8;10;43;42;11;;2
02/09/2017;0,15;0,15;1;7;9;51;57;9;;2
01/09/2017;0,14;0,14;4;9;15;48;42;10;7;2
31/08/2017;0,14;0,14;1;9;11;49;54;7;;2
30/08/2017;0,15;0,15;2;10;13;56;55;12;;2
29/08/2017;0,22;0,24;3;13;17;53;52;12;;2
28/08/2017;0,26;0,26;5;19;28;38;38;;12;2
27/08/2017;0,23;0,23;1;9;11;47;48;21;12;2
26/08/2017;0,22;0,22;1;6;7;61;58;14;;1
25/08/2017;0,23;0,23;1;5;7;51;53;8;;1
24/08/2017;0,23;0,23;1;6;7;56;54;12;;1
23/08/2017;0,22;0,22;1;8;10;48;51;20;;1
22/08/2017;0,2;0,2;0;8;9;84;84;24;13;2
21/08/2017;0,18;0,17;3;12;17;60;57;14;;2
20/08/2017;0,14;0,14;0;4;5;55;55;10;;1
19/08/2017;0,16;0,17;0;3;4;54;57;8;5;1
18/08/2017;0,19;0,19;1;6;7;47;45;8;;1
17/08/2017;0,15;0,15;2;9;11;45;43;10;9;1
16/08/2017;0,21;0,22;1;6;7;41;44;6;;1
15/08/2017;0,3;0,3;0;5;5;50;55;12;;1
14/08/2017;0,25;0,25;1;8;9;67;63;15;;2
13/08/2017;0,25;0,24;0;5;5;47;48;11;;1
12/08/2017;0,2;0,2;0;5;6;47;45;9;;1
11/08/2017;0,2;0,2;3;9;13;45;46;10;7;1
10/08/2017;0,22;0,21;1;8;10;54;57;10;6;1
09/08/2017;0,2;0,2;2;8;10;47;44;9;;1
08/08/2017;0,2;0,2;1;6;8;55;60;8;5;1
07/08/2017;0,21;0,2;1;7;9;60;61;15;;1
06/08/2017;0,16;0,16;0;2;2;67;64;10;5;1
05/08/2017;0,21;0,21;0;3;4;46;41;4;;1
04/08/2017;0,2;0,2;1;6;7;46;51;9;;1
03/08/2017;0,22;0,22;1;6;7;64;63;17;;1
02/08/2017;0,21;0,2;1;8;10;55;54;18;;1
01/08/2017
31/07/2017
30/07/2017
29/07/2017
28/07/2017;0,25;0,24;1;7;8;47;47;8;;1
27/07/2017;0,21;0,21;4;9;15;40;38;18;;2
26/07/2017;0,21;0,2;2;10;14;41;43;13;;1
25/07/2017;0,18;0,18;1;5;6;54;55;9;6;1
24/07/2017;0,2;0,19;1;4;6;40;38;5;;1
23/07/2017;0,16;0,16;0;4;4;47;49;11;6;1
22/07/2017;0,17;0,17;1;5;7;42;39;16;;2
21/07/2017;0,16;0,16;3;11;15;32;36;11;7;1
20/07/2017;0,17;0,17;2;8;11;42;45;5;3;1
19/07/2017;0,19;0,2;1;8;10;60;60;17;;1
18/07/2017;0,14;0,12;1;7;8;89;96;25;;1
17/07/2017;0,23;;2;11;15;74;68;23;;1
16/07/2017;0,3;0,28;1;7;7;55;54;14;;1
15/07/2017;0,22;0,22;0;4;4;61;63;10;;1
14/07/2017;0,23;0,23;1;7;9;46;45;7;4;1
13/07/2017;0,23;0,23;;;8;47;46;9;;1
12/07/2017;0,26;0,26;;;19;34;30;17;;1
11/07/2017;0,23;0,22;4;9;13;39;38;11;;1
10/07/2017;0,24;0,24;;;11;38;42;7;;1
09/07/2017;0,24;0,24;;;5;71;72;15;;1
08/07/2017;0,25;0,24;;;6;63;59;11;;1
07/07/2017;0,25;0,23;;;22;56;58;24;19;1
06/07/2017;0,21;0,22;;;15;59;59;21;;1
05/07/2017;;;;;9;87;90;19;10;1
04/07/2017;0,2;0,21;;;14;62;54;17;9;1
03/07/2017;0,21;0,2;;;15;27;28;13;;2
02/07/2017;0,17;0,16;;;9;38;38;10;7;1
01/07/2017;0,15;0,15;1;6;8;50;55;10;5;1
30/06/2017;0,14;0,14;1;9;12;46;41;11;;1
29/06/2017;;;2;12;15;44;48;11;7;1
28/06/2017;0,15;;1;9;11;46;42;12;;1
27/06/2017;0,15;0,15;2;10;13;31;32;13;;1
26/06/2017;0,17;0,18;3;13;18;41;41;12;;1
25/06/2017;0,14;0,13;1;7;8;38;43;11;19;1
24/06/2017;0,13;0,14;1;5;6;53;54;15;;1
23/06/2017;0,16;0,16;1;8;10;55;57;13;;1
22/06/2017;0,27;0,3;2;12;15;60;64;20;;1
21/06/2017;0,3;0,3;2;18;21;99;98;29;;2
20/06/2017;0,28;0,26;2;19;22;90;93;24;;1
19/06/2017;0,22;0,24;1;8;9;107;100;21;12;1
18/06/2017;0,28;0,26;1;9;10;79;81;18;;1
17/06/2017;0,23;0,23;1;7;8;62;57;13;;1
16/06/2017;0,23;0,23;1;9;11;55;56;9;;1
15/06/2017;0,26;0,26;2;10;13;47;49;4;;1
14/06/2017;0,27;0,27;2;10;13;62;59;20;;1
13/06/2017;0,22;0,21;2;10;13;51;50;26;;1
12/06/2017;0,19;0,19;2;8;10;38;39;10;;1
11/06/2017;0,19;0,2;1;4;5;53;55;14;;1
10/06/2017;0,21;0,21;1;8;9;63;60;17;;1
09/06/2017;0,2;0,19;2;12;15;48;49;17;;1
08/06/2017;0,18;0,17;5;14;22;60;58;24;;2
07/06/2017;;;4;13;19;50;48;18;15;1
06/06/2017;;;1;9;11;54;57;13;;1
05/06/2017;;;2;11;14;57;60;11;;1
04/06/2017;0,17;0,16;1;6;7;51;52;6;;1
03/06/2017;0,18;0,18;1;6;8;61;60;7;;1
02/06/2017;0,2;0,19;2;12;14;58;62;15;;1
01/06/2017;0,16;0,15;1;11;13;69;65;16;;1
31/05/2017;0,14;0,14;1;8;10;59;60;12;;1
30/05/2017;0,16;0,16;1;6;7;64;66;5;;1
29/05/2017;;;1;11;12;64;63;11;16;1
28/05/2017;;;0;9;9;88;97;16;12;2
27/05/2017;;;1;7;8;87;83;20;17;2
26/05/2017;;;3;16;21;88;91;20;21;2
25/05/2017;0,31;0,31;4;17;24;90;79;34;23;3
24/05/2017;0,29;0,27;1;12;15;69;68;21;21;2
23/05/2017;0,25;0,26;1;7;8;71;75;18;17;2
22/05/2017;0,33;0,32;3;14;18;79;80;26;20;2
21/05/2017;0,27;0,27;1;8;10;68;58;10;9;2
20/05/2017;0,26;0,25;1;8;11;49;50;13;14;2
19/05/2017;0,23;0,22;3;12;17;55;57;12;9;2
18/05/2017;0,27;0,28;1;10;12;67;62;5;5;1
17/05/2017;0,33;0,34;5;21;30;56;63;21;22;2
16/05/2017;0,3;0,28;3;19;24;76;73;25;23;3
15/05/2017;0,23;0,23;2;15;18;66;64;17;15;2
14/05/2017;0,17;0,17;0;7;7;66;65;9;7;1
13/05/2017;0,17;0,17;0;8;8;62;64;8;7;1
12/05/2017;0,14;0,13;0;7;7;76;81;7;5;1
11/05/2017;0,12;0,13;0;5;5;86;78;5;3;2
10/05/2017;0,16;0,16;1;12;13;70;71;11;8;2
09/05/2017;0,22;0,2;2;18;22;45;47;21;18;2
08/05/2017;;;2;13;16;55;57;13;11;2
07/05/2017;;;0;6;6;63;63;9;7;2
06/05/2017;;;0;7;7;69;71;8;5;2
05/05/2017;;;0;9;9;80;78;15;10;2
04/05/2017;0,18;0,17;3;19;24;52;55;20;14;2
03/05/2017;0,2;;2;12;15;48;46;12;9;2
02/05/2017;0,29;0,29;4;18;24;41;41;13;9;2
01/05/2017;0,2;0,19;1;8;9;54;56;10;6;2
30/04/2017;0,22;0,21;;;6;73;78;7;5;2
29/04/2017;0,17;0,17;;;9;72;67;14;10;2
28/04/2017;;;;;19;65;65;17;14;2
27/04/2017;;;;;11;73;74;12;11;2
26/04/2017;;;;;11;75;76;9;5;2
25/04/2017;;;;;24;59;59;16;14;2
24/04/2017;0,23;0,25;;;22;78;77;21;15;4
23/04/2017;0,29;0,28;;;10;93;93;14;10;3
22/04/2017;0,25;0,24;;;11;102;101;13;8;3
21/04/2017;0,27;0,26;;;28;75;74;27;16;4
20/04/2017;0,2;;;;17;72;77;22;17;4
19/04/2017;;;;;13;79;78;15;11;4
18/04/2017;;;;;11;71;68;14;9;3
17/04/2017;0,23;0,22;;;7;63;63;15;10;3
16/04/2017;0,2;0,2;;;5;64;68;7;7;3
15/04/2017;0,23;0,23;;;5;73;75;11;11;3
14/04/2017;0,23;0,23;;;6;72;71;14;14;3
13/04/2017;0,2;0,2;;;9;68;68;14;13;3
12/04/2017;0,21;0,21;;;19;64;66;18;17;3
11/04/2017;0,17;0,16;;;10;88;92;17;15;3
10/04/2017;0,16;0,15;;;23;70;66;25;24;4
09/04/2017;;;;;10;86;87;12;9;3
08/04/2017;;;;;14;71;69;17;15;4
07/04/2017;;;;;22;57;61;23;20;4
06/04/2017;;;;;17;72;74;20;21;3
05/04/2017;;;;;10;80;80;9;8;3
04/04/2017;;;;;12;74;70;10;8;3
03/04/2017;;;;;22;57;57;16;11;3
02/04/2017;0,14;0,14;;;6;80;87;9;6;3
01/04/2017;0,15;0,15;;;8;76;73;6;5;3
31/03/2017;0,19;0,19;4;20;25;70;75;14;8;3
30/03/2017;0,15;0,16;5;16;24;81;69;24;14;4
29/03/2017;0,19;0,19;7;25;36;51;52;29;23;5
28/03/2017;0,2;0,2;5;21;28;59;59;18;11;4
27/03/2017
26/03/2017
25/03/2017
24/03/2017;0,22;0,23;3;15;19;62;57;15;;4
23/03/2017;0,18;0,16;2;14;17;70;74;10;6;3
22/03/2017;0,16;0,16;1;12;13;66;66;8;3;3
21/03/2017;0,17;0,17;2;17;20;62;64;10;5;3
20/03/2017;0,16;0,16;1;9;11;68;68;15;10;2
19/03/2017;0,17;0,17;0;7;8;55;51;13;7;2
18/03/2017;0,16;0,16;0;8;9;70;75;14;;2
17/03/2017;0,24;0,24;1;12;14;69;66;28;21;4
16/03/2017;0,18;0,18;4;25;31;60;58;;;4
15/03/2017;0,23;0,23;4;18;23;50;53;;;4
14/03/2017;0,19;0,18;2;16;19;57;62;13;;3
13/03/2017;0,17;0,16;1;7;8;74;76;7;3;2
12/03/2017;0,15;0,15;0;4;4;81;81;;2;2
11/03/2017;0,17;0,18;1;13;15;68;61;;;4
10/03/2017;0,2;0,21;9;26;40;41;38;31;;4
09/03/2017;0,2;0,18;6;19;28;29;35;23;16;3
08/03/2017;0,16;0,16;3;13;18;52;55;12;2;2
07/03/2017;0,2;0,2;4;17;22;55;57;19;7;3
06/03/2017;0,17;0,2;1;9;11;71;61;18;6;3
05/03/2017;0,25;0,23;2;12;15;56;58;11;7;2
04/03/2017;0,16;0,14;1;12;13;60;68;7;5;2
03/03/2017;0,15;0,16;1;7;8;80;78;12;;2
02/03/2017;0,2;0,21;6;17;26;49;47;18;;3
01/03/2017;0,23;0,22;6;16;26;48;46;11;8;2
28/02/2017;0,18;0,18;2;15;18;68;71;8;;2
27/02/2017;0,16;0,16;1;8;10;68;63;14;;2
26/02/2017;0,21;0,21;2;13;16;48;49;16;11;2
25/02/2017;0,19;0,18;2;14;18;51;53;14;8;2
24/02/2017;0,17;0,17;1;11;13;67;68;9;5;2
23/02/2017;0,21;0,21;7;25;36;41;38;50;35;3
22/02/2017;0,25;0,25;9;26;39;29;28;30;;3
21/02/2017;0,22;0,21;10;24;39;36;38;24;;3
20/02/2017;0,21;0,21;3;21;26;58;60;18;;3
19/02/2017;0,22;0,22;1;13;15;63;68;16;;2
18/02/2017;0,23;0,23;3;15;19;53;46;22;;3
17/02/2017;0,24;0,23;8;27;39;39;39;40;31;3
16/02/2017;0,22;0,22;10;29;44;43;44;31;19;3
15/02/2017;0,18;0,17;3;18;23;55;59;21;12;3
14/02/2017;0,22;0,24;9;21;35;47;40;21;11;3
13/02/2017;0,22;;5;19;25;58;69;21;9;2
12/02/2017;0,16;0,19;0;8;8;66;56;27;9;2
11/02/2017;0,26;0,25;5;27;35;37;39;20;;3
10/02/2017;0,19;0,17;3;17;23;62;59;14;9;2
09/02/2017;0,2;0,19;6;25;33;38;46;15;11;2
08/02/2017;0,16;;2;11;15;74;76;8;3;2
07/02/2017;;;3;16;20;58;44;;9;2
06/02/2017;0,31;0,27;14;36;58;36;47;15;6;2
05/02/2017;0,13;0,13;1;6;7;78;76;9;3;2
04/02/2017;0,19;0,2;1;11;12;66;68;9;5;2
03/02/2017;0,17;;1;7;9;79;80;11;4;2
02/02/2017;;;1;9;11;67;64;7;3;2
01/02/2017;0,18;0,19;11;20;38;48;46;14;;2
31/01/2017;0,17;0,17;4;18;24;40;41;13;;2
30/01/2017;0,25;0,28;20;26;56;27;23;14;;3
29/01/2017;0,27;0,24;4;21;27;40;42;9;;2
28/01/2017;0,2;0,2;4;21;27;39;41;10;8;2
27/01/2017;0,24;0,24;4;19;26;57;61;16;;2
26/01/2017;0,25;0,25;10;22;38;47;41;23;;2
25/01/2017;0,26;0,26;8;24;36;37;38;20;;3
24/01/2017;0,28;0,28;5;22;30;47;50;18;;2
23/01/2017;0,26;0,26;3;18;22;47;44;14;;2
22/01/2017;0,28;0,27;2;13;16;32;31;15;;1
21/01/2017;0,28;0,3;7;23;35;18;16;16;;1
20/01/2017;0,33;0,32;24;31;68;7;7;26;;2
19/01/2017;0,37;0,39;;;;6;5;;;2
18/01/2017;0,28;0,24;;;;4;6;;17;2
17/01/2017;0,18;0,19;12;8;26;19;19;;4;1
16/01/2017;0,2;0,2;5;6;13;29;31;;1;1
15/01/2017;0,2;0,21;8;6;17;22;19;4;1;1
14/01/2017;0,23;0,23;16;8;31;10;11;5;3;1
13/01/2017;0,22;;16;9;33;24;31;6;3;1
12/01/2017;0,19;;9;23;37;29;23;;;1
11/01/2017;0,19;0,19;15;9;32;37;46;3;;2
10/01/2017;0,2;0,22;2;13;16;59;52;6;5;1
09/01/2017;0,28;0,28;15;31;54;28;30;20;;1
08/01/2017;0,25;0,25;3;18;24;44;42;8;;1
07/01/2017;0,26;0,26;7;25;36;37;36;12;;1
06/01/2017;0,22;0,21;4;19;26;41;41;10;;1
05/01/2017;0,23;0,24;10;28;43;29;27;15;;1
04/01/2017;0,27;0,28;22;34;67;15;15;40;;1
03/01/2017;0,27;0,26;17;32;58;14;14;34;;1
02/01/2017;0,22;0,21;16;27;51;14;14;21;;1
01/01/2017;0,2;0,21;5;16;23;22;24;11;;1
